Sessions,Bounce Rate,Page Views,content_length,month,mobile,tablet,(direct),goog,nkedin,t.co,spain,united states,log_Avg_Time_Page
3.0,0.6667000000000001,4.0,12373,7,1,0,0,1,0,0,0,0,5.484796933490655
1.0,1.0,1.0,6261,2,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,2.0,4822,4,0,1,1,0,0,0,0,0,4.007333185232471
13.0,0.5385,13.0,4872,5,1,0,0,1,0,0,1,0,3.6635616461296463
0.0,0.0,1.0,4822,4,0,0,0,1,0,0,0,0,2.3978952727983707
0.0,0.0,1.0,1291,9,0,0,0,0,0,0,0,1,4.2626798770413155
0.0,0.0,1.0,15966,6,0,0,0,0,0,0,0,0,2.6390573296152584
0.0,0.0,2.0,4822,4,0,0,0,1,0,0,0,0,4.330733340286331
0.0,0.0,1.0,9307,5,1,0,1,0,0,0,0,0,3.6375861597263857
1.0,1.0,1.0,5581,5,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3903,10,1,0,0,0,0,0,0,0,2.302585092994046
11.0,0.9091,16.0,27307,8,0,0,1,0,0,0,0,0,4.219507705176107
10.0,0.9,10.0,21233,3,0,0,0,1,0,0,0,0,6.327936783729195
1.0,0.0,1.0,1813,4,0,0,0,0,1,0,0,0,2.4849066497880004
1.0,1.0,1.0,15478,1,1,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,2.0,15966,6,0,1,0,1,0,0,1,0,3.8918202981106265
6.0,0.6667000000000001,10.0,2514,10,1,0,0,1,0,0,1,0,4.564348191467836
3.0,1.0,3.0,7954,10,0,0,0,1,0,0,0,0,2.302585092994046
26.0,0.8845999999999999,28.0,3903,10,0,0,0,1,0,0,0,0,5.583496308781699
1.0,1.0,1.0,1813,4,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3477,1,1,0,0,0,0,0,0,1,2.302585092994046
5.0,1.0,5.0,27307,8,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,12373,7,0,0,0,0,0,0,1,0,2.302585092994046
1.0,1.0,1.0,1813,4,0,1,0,1,0,0,1,0,2.302585092994046
1.0,1.0,1.0,21233,3,1,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,2338,3,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4732,7,0,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,2.0,6537,9,1,0,0,0,0,0,1,0,2.302585092994046
3.0,1.0,3.0,5056,6,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,2.0,21233,3,0,0,0,0,0,1,1,0,6.401917196727186
1.0,1.0,1.0,16459,9,0,0,0,0,0,0,1,0,2.302585092994046
0.0,0.0,1.0,2338,3,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6335,11,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,1333,10,1,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,6335,11,0,1,1,0,0,0,0,0,5.25227342804663
0.0,0.0,4.0,10575,3,0,0,0,0,0,0,1,0,6.2166061010848646
0.0,0.0,1.0,1291,9,0,0,0,1,0,0,0,0,7.05444965813294
0.0,0.0,1.0,2519,8,1,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,4603,12,0,0,1,0,0,0,0,0,2.5649493574615367
0.0,0.0,1.0,10705,12,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,7393,9,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6325,12,0,0,1,0,0,0,1,0,2.302585092994046
3.0,1.0,3.0,6335,11,1,0,0,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,14374,5,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,5234,10,0,0,0,0,1,0,0,0,2.302585092994046
3.0,1.0,3.0,14374,5,0,0,0,1,0,0,0,0,2.302585092994046
5.0,1.0,5.0,9243,4,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,10575,3,0,0,1,0,0,0,0,0,2.6390573296152584
2.0,1.0,2.0,21233,3,1,0,1,0,0,0,0,0,2.302585092994046
4.0,0.75,7.0,4169,12,0,0,0,1,0,0,1,0,4.736198448394496
22.0,1.0,33.0,3372,9,0,0,0,1,0,0,1,0,4.787491742782046
1.0,1.0,1.0,4550,2,0,0,0,0,0,0,0,0,2.302585092994046
2.0,0.0,3.0,2508,3,0,0,0,0,0,0,1,0,3.970291913552122
1.0,1.0,1.0,4010,10,0,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,21233,3,1,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3511,4,0,0,0,1,0,0,1,0,6.315358001522335
0.0,0.0,1.0,3968,8,0,0,0,1,0,0,0,0,4.31748811353631
10.0,0.6,11.0,5056,6,0,0,0,1,0,0,0,0,3.784189633918261
2.0,1.0,2.0,3799,11,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4815,9,0,0,0,1,0,0,0,0,2.302585092994046
3.0,0.6667000000000001,4.0,4463,2,0,0,1,0,0,0,0,1,3.58351893845611
1.0,0.0,2.0,15478,1,0,0,0,1,0,0,0,0,3.6375861597263857
2.0,0.5,3.0,5581,5,0,0,1,0,0,0,0,0,6.376726947898627
2.0,1.0,2.0,3744,1,0,0,1,0,0,0,0,0,2.302585092994046
2.0,1.0,3.0,4463,2,0,0,0,1,0,0,0,0,5.1647859739235145
3.0,1.0,3.0,3862,5,0,0,1,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,2508,3,1,0,0,0,0,0,1,0,2.302585092994046
0.0,0.0,1.0,1813,4,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,4010,10,0,1,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3811,7,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,1.0,5078,7,0,0,0,0,0,0,1,0,3.6109179126442243
4.0,1.0,4.0,12373,7,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6335,11,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,2.0,2338,3,1,0,1,0,0,0,0,0,2.302585092994046
5.0,1.0,5.0,9243,4,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,3.0,9307,5,1,0,0,1,0,0,1,0,2.6390573296152584
0.0,0.0,1.0,2519,8,0,1,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,5078,7,0,0,0,0,0,0,1,0,3.1354942159291497
2.0,1.0,2.0,3372,9,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,4.0,2514,10,0,0,0,1,0,0,0,0,4.204692619390966
1.0,1.0,1.0,9190,4,1,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,9243,4,0,1,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6981,3,0,0,0,0,1,0,0,0,2.302585092994046
1.0,1.0,1.0,2514,10,1,0,0,0,0,0,0,1,2.302585092994046
4.0,0.75,5.0,3799,11,1,0,0,1,0,0,0,0,5.529429087511423
0.0,0.0,1.0,5078,7,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3094,5,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,2.0,2514,10,0,0,1,0,0,0,0,0,5.6131281063880705
2.0,1.0,7.0,4822,4,1,0,0,1,0,0,1,0,3.1780538303479458
1.0,1.0,1.0,16459,9,0,0,0,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,3968,8,0,0,0,1,0,0,0,0,2.302585092994046
3.0,1.0,3.0,7954,10,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,1.0,3968,8,0,0,0,0,0,0,0,0,2.3978952727983707
2.0,0.5,2.0,9243,4,0,1,0,1,0,0,0,0,3.828641396489095
1.0,1.0,1.0,5234,10,1,0,0,0,1,0,0,1,2.302585092994046
14.0,0.8571,37.0,2514,10,0,0,0,1,0,0,1,0,5.996452088619021
0.0,0.0,1.0,16459,9,0,1,1,0,0,0,0,1,2.302585092994046
0.0,0.0,1.0,2519,8,0,0,0,0,0,0,0,0,2.995732273553991
0.0,0.0,1.0,9447,3,0,0,0,1,0,0,0,0,5.0238805208462765
1.0,1.0,1.0,6995,9,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,2.0,3046,1,0,0,0,1,0,0,0,0,2.70805020110221
1.0,1.0,1.0,5943,3,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,12373,7,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4822,4,0,0,1,0,0,0,0,0,2.302585092994046
17.0,0.7646999999999999,17.0,12373,7,0,0,0,1,0,0,0,0,5.908082938168931
1.0,0.0,5.0,2411,11,0,0,0,1,0,0,0,0,3.4011973816621555
1.0,1.0,1.0,6430,9,0,0,1,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,4463,2,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,1291,9,0,1,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,7007,12,1,0,0,0,0,0,1,0,2.302585092994046
25.0,0.8,31.0,4732,7,0,0,0,1,0,0,1,0,4.51085950651685
1.0,0.0,1.0,2915,1,0,0,0,1,0,0,0,0,4.248495242049359
1.0,1.0,1.0,9243,4,0,0,0,1,0,0,0,0,2.302585092994046
4.0,0.75,5.0,6335,11,1,0,1,0,0,0,0,0,4.5217885770490405
3.0,1.0,3.0,3779,6,1,0,0,0,0,1,1,0,2.302585092994046
1.0,1.0,1.0,4377,12,1,0,0,0,1,0,0,1,2.302585092994046
1.0,0.0,1.0,3903,10,0,0,0,1,0,0,0,0,6.459904454377535
1.0,1.0,1.0,6532,11,1,0,0,0,0,1,0,0,2.302585092994046
1.0,0.0,1.0,2967,10,0,0,0,0,0,1,0,0,2.9444389791664403
4.0,0.75,4.0,4815,9,0,0,1,0,0,0,0,0,3.258096538021482
0.0,0.0,1.0,12373,7,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4377,12,0,0,0,0,1,0,0,0,2.302585092994046
1.0,1.0,1.0,2761,2,1,0,1,0,0,0,0,0,2.302585092994046
3.0,0.6667000000000001,4.0,1333,10,1,0,0,0,0,1,1,0,3.1780538303479458
1.0,0.0,11.0,5581,5,0,0,0,1,0,0,1,0,3.4011973816621555
4.0,0.75,4.0,3903,10,0,0,0,1,0,0,0,0,3.6109179126442243
0.0,0.0,1.0,4822,4,0,0,0,0,0,0,1,0,2.6390573296152584
1.0,1.0,1.0,966,3,0,0,0,0,0,0,0,0,2.302585092994046
1.0,0.0,1.0,14374,5,0,0,1,0,0,0,1,0,3.1354942159291497
1.0,1.0,1.0,27307,8,0,0,0,1,0,0,0,0,2.302585092994046
3.0,0.6667000000000001,3.0,3046,1,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,2519,8,1,0,0,0,0,0,1,0,3.713572066704308
0.0,0.0,1.0,966,3,1,0,0,1,0,0,0,0,2.302585092994046
2.0,1.0,2.0,2514,10,0,1,0,0,1,0,0,0,2.302585092994046
32.0,0.75,47.0,4603,12,1,0,0,0,0,1,1,0,5.786897381366708
0.0,0.0,5.0,1291,9,0,0,0,0,0,1,1,0,3.9318256327243257
2.0,0.5,9.0,6335,11,0,0,0,1,0,0,0,0,6.003887067106539
0.0,0.0,1.0,3566,3,0,0,0,0,0,0,1,0,2.302585092994046
7.0,1.0,12.0,4169,12,0,0,0,1,0,0,1,0,3.828641396489095
2.0,0.5,2.0,4603,12,0,0,1,0,0,0,0,0,7.149916836132109
0.0,0.0,2.0,686,12,1,0,0,1,0,0,1,0,3.4965075614664802
1.0,1.0,6.0,15478,1,0,0,0,0,0,0,1,0,4.919980925828125
0.0,0.0,2.0,2519,8,0,0,1,0,0,0,0,0,2.5649493574615367
1.0,1.0,1.0,5056,6,1,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3779,6,0,0,0,1,0,0,1,0,2.302585092994046
2.0,1.0,2.0,5902,9,1,0,1,0,0,0,0,1,2.302585092994046
1.0,1.0,1.0,6981,3,1,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,9675,2,0,0,0,0,0,0,0,0,2.302585092994046
2.0,0.5,4.0,9190,4,0,0,0,0,0,0,0,0,3.4657359027997265
1.0,1.0,1.0,3094,5,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6445,6,0,0,0,1,0,0,0,0,2.302585092994046
3.0,1.0,3.0,6335,11,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,1676,12,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,1183,4,0,0,0,1,0,0,0,0,2.302585092994046
2.0,0.5,3.0,2761,2,1,0,0,0,0,0,1,0,3.5553480614894135
0.0,0.0,1.0,16459,9,0,0,0,0,0,0,0,0,2.70805020110221
4.0,0.75,6.0,15478,1,1,0,1,0,0,0,0,1,5.0106352940962555
1.0,1.0,1.0,427,11,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4815,9,0,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3046,1,0,0,1,0,0,0,0,0,2.302585092994046
10.0,0.8,12.0,9243,4,1,0,0,1,0,0,1,0,5.594711379601839
4.0,0.75,7.0,7007,12,0,0,0,1,0,0,0,0,3.6375861597263857
2.0,1.0,2.0,9243,4,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3903,10,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,2.0,3744,1,0,0,0,1,0,0,0,1,5.777652323222656
1.0,1.0,1.0,4732,7,0,0,0,0,0,0,0,0,2.302585092994046
4.0,0.75,6.0,5902,9,0,0,0,0,0,0,1,0,5.71042701737487
1.0,1.0,2.0,5902,9,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,1.0,3862,5,0,0,0,1,0,0,0,0,3.9318256327243257
1.0,1.0,1.0,2338,3,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,12373,7,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3511,4,0,1,0,0,0,0,1,0,2.302585092994046
2.0,1.0,2.0,6981,3,1,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3779,6,0,0,0,0,0,0,1,0,2.4849066497880004
1.0,1.0,1.0,2508,3,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3779,6,1,0,0,0,1,0,0,0,2.302585092994046
0.0,0.0,1.0,4732,7,0,0,0,1,0,0,0,0,2.302585092994046
2.0,0.5,3.0,15478,1,1,0,1,0,0,0,0,0,5.87493073085203
0.0,0.0,1.0,4463,2,0,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6995,9,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,2915,1,1,0,0,0,0,1,1,0,4.30406509320417
1.0,1.0,3.0,2519,8,1,0,1,0,0,0,0,0,2.302585092994046
7.0,1.0,7.0,4732,7,0,0,0,1,0,0,0,0,2.302585092994046
4.0,0.5,8.0,2761,2,1,0,0,1,0,0,1,0,3.258096538021482
1.0,1.0,1.0,6537,9,0,0,0,1,0,0,0,0,2.302585092994046
4.0,1.0,4.0,9243,4,0,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3046,1,0,1,1,0,0,0,0,0,7.1459844677143876
1.0,1.0,1.0,9447,3,1,0,1,0,0,0,0,0,2.302585092994046
3.0,1.0,3.0,9243,4,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,9307,5,1,0,0,0,0,0,1,0,2.302585092994046
0.0,0.0,1.0,4936,11,0,1,0,0,0,0,0,0,5.529429087511423
7.0,0.7143,9.0,12373,7,1,0,0,0,0,0,1,0,6.244166900663736
2.0,0.0,2.0,10705,12,1,0,1,0,0,0,0,0,6.448889394146858
1.0,1.0,4.0,2519,8,0,0,0,1,0,0,0,0,6.251903883165888
2.0,1.0,3.0,2514,10,0,0,1,0,0,0,0,0,2.302585092994046
2.0,0.5,2.0,15478,1,0,0,0,0,1,0,0,0,6.408528791059498
5.0,0.8,6.0,9243,4,0,0,0,1,0,0,0,0,4.7535901911063645
1.0,1.0,1.0,5056,6,0,1,0,1,0,0,0,1,2.302585092994046
1.0,1.0,1.0,4936,11,1,0,0,0,0,0,1,0,2.302585092994046
0.0,0.0,1.0,3779,6,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,15966,6,0,0,0,1,0,0,0,0,5.796057750765372
3.0,0.6667000000000001,7.0,4885,2,0,0,0,0,1,0,1,0,3.4011973816621555
21.0,1.0,32.0,10375,3,0,0,1,0,0,0,1,0,4.700480365792417
3.0,0.6667000000000001,4.0,3862,5,0,0,0,1,0,0,0,0,6.354370040797351
119.0,0.8571,142.0,12373,7,0,0,0,1,0,0,0,0,5.717027701406222
1.0,1.0,1.0,4822,4,0,0,0,0,0,0,0,1,2.302585092994046
9.0,0.6667000000000001,25.0,10139,9,0,0,0,1,0,0,1,0,4.07753744390572
1.0,1.0,1.0,9243,4,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4885,2,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,4463,2,1,0,1,0,0,0,0,0,5.14166355650266
7.0,1.0,7.0,21233,3,1,0,0,1,0,0,1,0,2.302585092994046
2.0,1.0,2.0,6995,9,0,0,0,0,0,0,0,0,2.302585092994046
0.0,0.0,2.0,966,3,0,0,0,1,0,0,0,0,2.302585092994046
3.0,0.6667000000000001,4.0,6261,2,0,0,0,1,0,0,0,0,4.61512051684126
1.0,1.0,1.0,9842,6,0,0,0,0,0,0,0,1,2.302585092994046
0.0,0.0,3.0,9307,5,0,0,0,1,0,0,0,0,4.770684624465665
1.0,1.0,2.0,4885,2,0,1,0,1,0,0,1,0,2.833213344056216
1.0,1.0,1.0,14374,5,1,0,0,1,0,0,1,0,2.302585092994046
1.0,0.0,2.0,5902,9,0,0,0,1,0,0,1,0,6.289715570908998
1.0,1.0,1.0,15478,1,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,966,3,0,1,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,2519,8,1,0,0,1,0,0,0,0,6.0867747269123065
1.0,1.0,1.0,12465,5,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,3511,4,0,0,0,0,0,0,1,0,4.442651256490317
8.0,1.0,8.0,2508,3,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,5943,3,1,0,1,0,0,0,0,1,2.302585092994046
1.0,1.0,1.0,7954,10,0,0,0,0,0,0,0,1,2.302585092994046
1.0,1.0,1.0,11303,1,1,0,0,1,0,0,1,0,2.302585092994046
3.0,1.0,3.0,5546,7,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3968,8,0,1,1,0,0,0,0,0,2.302585092994046
4.0,0.75,5.0,14374,5,0,0,0,1,0,0,0,0,7.189922170745808
220.0,0.8636,258.0,12373,7,1,0,1,0,0,0,1,0,5.707110264748875
2.0,1.0,2.0,9307,5,0,0,0,0,0,1,0,1,2.302585092994046
0.0,0.0,1.0,4822,4,0,0,0,0,0,0,1,0,6.366470447731438
2.0,0.5,9.0,3372,9,0,0,0,1,0,0,1,0,5.480638923341991
0.0,0.0,1.0,5902,9,0,0,0,0,0,0,1,0,5.8916442118257715
2.0,1.0,2.0,2508,3,0,0,0,1,0,0,0,0,2.302585092994046
5.0,1.0,5.0,7954,10,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3919,7,0,0,0,0,0,0,0,0,2.302585092994046
52.0,0.7692,67.0,6335,11,1,0,0,0,0,1,1,0,4.61512051684126
1.0,0.0,2.0,15966,6,1,0,0,0,1,0,0,1,6.361302477572996
1.0,1.0,1.0,12373,7,1,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,11303,1,0,1,0,0,0,1,1,0,2.302585092994046
2.0,1.0,2.0,2283,1,0,0,0,0,0,0,1,0,2.302585092994046
2.0,1.0,5.0,4885,2,1,0,1,0,0,0,1,0,3.828641396489095
1.0,1.0,1.0,3811,7,1,0,1,0,0,0,0,0,2.302585092994046
6.0,0.6667000000000001,8.0,3094,5,0,0,1,0,0,0,1,0,3.58351893845611
0.0,0.0,1.0,5234,10,1,0,0,1,0,0,0,0,5.420534999272286
3.0,1.0,3.0,1183,4,0,0,0,1,0,0,0,1,2.302585092994046
1.0,1.0,1.0,3903,10,0,1,0,1,0,0,0,1,2.302585092994046
0.0,0.0,2.0,15966,6,0,0,0,0,0,0,1,0,2.772588722239781
0.0,0.0,1.0,3054,1,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3903,10,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6532,11,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,7954,10,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,6537,9,1,0,1,0,0,0,0,0,2.302585092994046
0.0,0.0,1.0,6537,9,1,0,0,1,0,0,0,0,5.337538079701318
4.0,0.75,6.0,5234,10,0,0,0,1,0,0,0,0,4.356708826689592
1.0,0.0,1.0,5902,9,0,0,0,0,1,0,0,0,4.189654742026425
0.0,0.0,3.0,6335,11,0,1,0,0,0,0,1,0,3.6109179126442243
0.0,0.0,1.0,4936,11,0,0,0,1,0,0,0,0,2.302585092994046
8.0,0.875,12.0,3566,3,1,0,1,0,0,0,1,0,6.483107351457199
0.0,0.0,1.0,2514,10,0,0,0,0,0,0,0,0,2.3978952727983707
1.0,1.0,1.0,12373,7,1,0,0,1,0,0,0,0,2.302585092994046
6.0,0.8332999999999999,6.0,6335,11,1,0,1,0,0,0,0,0,5.6131281063880705
3.0,1.0,3.0,21233,3,0,0,0,1,0,0,0,0,2.302585092994046
111.0,0.7837999999999999,155.0,6335,11,1,0,1,0,0,0,1,0,5.58724865840025
1.0,0.0,2.0,6537,9,0,0,0,1,0,0,0,0,3.6375861597263857
1.0,1.0,1.0,6445,6,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,15478,1,1,0,0,1,0,0,0,0,2.302585092994046
5.0,1.0,5.0,4815,9,0,0,0,1,0,0,0,0,2.302585092994046
3.0,1.0,4.0,10681,3,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4936,11,1,0,0,0,0,1,0,0,2.302585092994046
1.0,0.0,1.0,3779,6,0,0,0,0,0,0,0,0,7.158513997329321
0.0,0.0,1.0,6261,2,0,0,0,1,0,0,0,0,4.727387818712341
1.0,1.0,1.0,27307,8,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,5.0,3477,1,0,0,0,0,0,1,1,0,2.9444389791664403
0.0,0.0,1.0,3744,1,0,0,0,1,0,0,0,0,3.8501476017100584
1.0,1.0,1.0,4658,12,1,0,1,0,0,0,0,0,2.302585092994046
1.0,1.0,9.0,6335,11,0,0,0,1,0,0,0,0,4.51085950651685
